DATE,MAX,MIN,AVG,DEPARTURE,HDD,CDD,PRECIPITATION,NEW_SNOW,SNOW_DEPTH
2022-09-01,94,74,84,0.5,0,19,0.02,0,0
2022-09-02,92,74,83,-0.3,0,18,T,0,0
2022-09-03,93,73,83,-0.1,0,18,0.55,0,0
2022-09-04,83,73,78,-5,0,13,0,0,0
2022-09-05,87,72,79.5,-3.3,0,15,0,0,0
2022-09-06,90,71,80.5,-2.1,0,16,0,0,0
2022-09-07,94,71,82.5,0.1,0,18,0.02,0,0
2022-09-08,92,71,81.5,-0.7,0,17,0,0,0
2022-09-09,92,70,81,-1,0,16,0,0,0
2022-09-10,93,72,82.5,0.7,0,18,0,0,0
2022-09-11,95,73,84,2.4,0,19,0,0,0
2022-09-12,91,72,81.5,0.1,0,17,0,0,0
2022-09-13,92,67,79.5,-1.7,0,15,0,0,0
2022-09-14,89,66,77.5,-3.5,0,13,0,0,0
2022-09-15,92,67,79.5,-1.3,0,15,0,0,0
2022-09-16,90,73,81.5,1,0,17,T,0,0
2022-09-17,93,74,83.5,3.2,0,19,0.16,0,0
2022-09-18,94,72,83,2.9,0,18,0,0,0
2022-09-19,93,73,83,3.2,0,18,T,0,0
2022-09-20,95,72,83.5,3.9,0,19,0,0,0
2022-09-21,94,71,82.5,3.1,0,18,0,0,0
2022-09-22,98,73,85.5,6.4,0,21,0,0,0
2022-09-23,96,73,84.5,5.6,0,20,0,0,0
2022-09-24,95,69,82,3.4,0,17,0,0,0
2022-09-25,96,70,83,4.7,0,18,0,0,0
2022-09-26,93,69,81,2.9,0,16,0,0,0
2022-09-27,90,59,74.5,-3.3,0,10,0,0,0
2022-09-28,88,59,73.5,-4,0,9,0,0,0
2022-09-29,86,62,74,-3.2,0,9,0,0,0
2022-09-30,84,55,69.5,-7.5,0,5,0,0,0
2022-10-01,85,52,68.5,-8.2,0,4,0,0,0
2022-10-02,86,55,70.5,-5.9,0,6,0,0,0
2022-10-03,89,59,74,-2.1,0,9,0,0,0
2022-10-04,86,60,73,-2.8,0,8,0,0,0
2022-10-05,87,58,72.5,-3,0,8,0,0,0
2022-10-06,90,60,75,-0.2,0,10,0,0,0
2022-10-07,88,61,74.5,-0.4,0,10,0,0,0
2022-10-08,89,66,77.5,2.9,0,13,0,0,0
2022-10-09,88,60,74,-0.2,0,9,0,0,0
2022-10-10,87,60,73.5,-0.4,0,9,0,0,0
2022-10-11,86,60,73,-0.6,0,8,T,0,0
2022-10-12,94,68,81,7.7,0,16,0,0,0
2022-10-13,88,66,77,4.1,0,12,0,0,0
2022-10-14,87,61,74,1.4,0,9,0,0,0
2022-10-15,91,62,76.5,4.2,0,12,0,0,0
2022-10-16,92,66,79,7.1,0,14,0,0,0
2022-10-17,74,60,67,-4.6,0,2,0.33,0,0
2022-10-18,68,50,59,-12.2,6,0,0,0,0
2022-10-19,68,42,55,-15.9,10,0,0,0,0
2022-10-20,82,45,63.5,-7.1,1,0,0,0,0
2022-10-21,84,60,72,1.8,0,7,0,0,0
2022-10-22,85,59,72,2.1,0,7,0,0,0
2022-10-23,86,67,76.5,7,0,12,0,0,0
2022-10-24,81,58,69.5,0.3,0,5,0.04,0,0
2022-10-25,74,50,62,-6.8,3,0,0.02,0,0
2022-10-26,75,47,61,-7.5,4,0,0,0,0
2022-10-27,77,47,62,-6.1,3,0,T,0,0
2022-10-28,70,60,65,-2.8,0,0,1.44,0,0
2022-10-29,67,56,61.5,-5.9,3,0,0,0,0
2022-10-30,76,53,64.5,-2.6,0,0,0,0,0
2022-10-31,80,53,66.5,-0.3,0,2,0,0,0
2022-11-01,65,59,62,-4.4,3,0,0.14,0,0
2022-11-02,78,59,68.5,2.4,0,4,0,0,0
2022-11-03,84,70,77,11.2,0,12,T,0,0
2022-11-04,85,59,72,6.6,0,7,0.14,0,0
2022-11-05,73,56,64.5,-0.6,0,0,T,0,0
2022-11-06,86,56,71,6.2,0,6,0.01,0,0
2022-11-07,86,67,76.5,12,0,12,0,0,0
2022-11-08,85,64,74.5,10.4,0,10,0,0,0
2022-11-09,84,63,73.5,9.7,0,9,0,0,0
2022-11-10,82,63,72.5,9,0,8,0,0,0
2022-11-11,82,48,65,1.8,0,0,1.1,0,0
2022-11-12,59,40,49.5,-13.4,15,0,0,0,0
2022-11-13,59,36,47.5,-15.1,17,0,0,0,0
2022-11-14,55,47,51,-11.3,14,0,0.2,0,0
2022-11-15,55,41,48,-14,17,0,0,0,0
2022-11-16,57,38,47.5,-14.2,17,0,0,0,0
2022-11-17,61,37,49,-12.5,16,0,0,0,0
2022-11-18,58,44,51,-10.2,14,0,T,0,0
2022-11-19,51,43,47,-13.9,18,0,0.59,0,0
2022-11-20,57,39,48,-12.7,17,0,T,0,0
2022-11-21,47,44,45.5,-14.9,19,0,0.41,0,0
2022-11-22,61,44,52.5,-7.6,12,0,T,0,0
2022-11-23,73,46,59.5,-0.4,5,0,0,0,0
2022-11-24,71,61,66,6.4,0,1,0.94,0,0
2022-11-25,63,58,60.5,1.1,4,0,0.34,0,0
2022-11-26,66,51,58.5,-0.7,6,0,1.1,0,0
2022-11-27,74,50,62,3.1,3,0,0,0,0
2022-11-28,75,46,60.5,1.8,4,0,0,0,0
2022-11-29,83,62,72.5,14,0,8,T,0,0
2022-11-30,73,46,59.5,1.3,5,0,0,0,0
2022-12-01,60,39,49.5,-8.5,15,0,0,0,0
2022-12-02,78,54,66,8.2,0,1,T,0,0
2022-12-03,78,61,69.5,11.9,0,5,0.01,0,0
2022-12-04,69,58,63.5,6.1,1,0,0,0,0
2022-12-05,82,65,73.5,16.3,0,9,0,0,0
2022-12-06,82,69,75.5,18.5,0,11,T,0,0
2022-12-07,82,67,74.5,17.7,0,10,T,0,0
2022-12-08,82,66,74,17.4,0,9,0,0,0
2022-12-09,82,65,73.5,17.1,0,9,T,0,0
2022-12-10,81,65,73,16.7,0,8,0.05,0,0
2022-12-11,73,64,68.5,12.4,0,4,1.87,0,0
2022-12-12,69,62,65.5,9.6,0,1,0.04,0,0
2022-12-13,79,63,71,15.3,0,6,0.08,0,0
2022-12-14,67,49,58,2.4,7,0,0.09,0,0
2022-12-15,63,40,51.5,-3.9,13,0,0,0,0
2022-12-16,66,42,54,-1.3,11,0,0.15,0,0
2022-12-17,59,38,48.5,-6.6,16,0,0,0,0
2022-12-18,55,32,43.5,-11.5,21,0,0,0,0
2022-12-19,52,43,47.5,-7.3,17,0,0.4,0,0
2022-12-20,58,46,52,-2.7,13,0,0.03,0,0
2022-12-21,54,38,46,-8.6,19,0,0,0,0
2022-12-22,58,20,39,-15.4,26,0,T,0,0
2022-12-23,32,15,23.5,-30.8,41,0,0,0,0
2022-12-24,43,22,32.5,-21.7,32,0,0,0,0
2022-12-25,50,26,38,-16.1,27,0,0,0,0
2022-12-26,61,28,44.5,-9.5,20,0,0,0,0
2022-12-27,56,33,44.5,-9.4,20,0,0,0,0
2022-12-28,77,35,56,2.2,9,0,0,0,0
2022-12-29,77,58,67.5,13.8,0,3,0.82,0,0
2022-12-30,68,56,62,8.4,3,0,0.34,0,0
2022-12-31,75,51,63,9.4,2,0,0,0,0
2023-01-01,79,59,69,15.5,0,4,0,0,0
2023-01-02,76,71,73.5,20,0,9,0.13,0,0
2023-01-03,78,58,68,14.6,0,3,0.12,0,0
2023-01-04,72,48,60,6.6,5,0,0,0,0
2023-01-05,72,43,57.5,4.2,7,0,0,0,0
2023-01-06,79,47,63,9.7,2,0,0,0,0
2023-01-07,81,57,69,15.7,0,4,0.35,0,0
2023-01-08,70,50,60,6.7,5,0,0.16,0,0
2023-01-09,68,45,56.5,3.2,8,0,0,0,0
2023-01-10,76,58,67,13.7,0,2,0,0,0
2023-01-11,80,63,71.5,18.2,0,7,0,0,0
2023-01-12,71,50,60.5,7.2,4,0,0.03,0,0
2023-01-13,63,42,52.5,-0.8,12,0,0,0,0
2023-01-14,62,34,48,-5.4,17,0,0,0,0
2023-01-15,73,43,58,4.6,7,0,T,0,0
2023-01-16,76,63,69.5,16,0,5,T,0,0
2023-01-17,80,63,71.5,18,0,7,0,0,0
2023-01-18,79,51,65,11.4,0,0,T,0,0
2023-01-19,72,46,59,5.3,6,0,0,0,0
2023-01-20,53,48,50.5,-3.2,14,0,0.1,0,0
2023-01-21,53,48,50.5,-3.3,14,0,0.12,0,0
2023-01-22,61,40,50.5,-3.4,14,0,0,0,0
2023-01-23,59,35,47,-7,18,0,0,0,0
2023-01-24,60,45,52.5,-1.6,12,0,4.05,0,0
2023-01-25,52,38,45,-9.2,20,0,0,0,0
2023-01-26,58,35,46.5,-7.8,18,0,0,0,0
2023-01-27,56,34,45,-9.5,20,0,0,0,0
2023-01-28,70,55,62.5,7.9,2,0,0.17,0,0
2023-01-29,74,51,62.5,7.8,2,0,1.33,0,0
2023-01-30,51,36,43.5,-11.4,21,0,0.02,0,0
2023-01-31,43,36,39.5,-15.5,25,0,T,0,0
2023-02-01,40,36,38,-17.2,27,0,0.13,0,0
2023-02-02,41,38,39.5,-15.8,25,0,0.87,0,0
2023-02-03,59,39,49,-6.5,16,0,0,0,0
2023-02-04,63,35,49,-6.7,16,0,0,0,0
2023-02-05,74,45,59.5,3.7,5,0,0,0,0
2023-02-06,73,49,61,5,4,0,0,0,0
2023-02-07,74,58,66,9.8,0,1,T,0,0
2023-02-08,78,44,61,4.6,4,0,0.31,0,0
2023-02-09,72,40,56,-0.6,9,0,0,0,0
2023-02-10,59,42,50.5,-6.2,14,0,0,0,0
2023-02-11,54,39,46.5,-10.4,18,0,0,0,0
2023-02-12,65,38,51.5,-5.6,13,0,0,0,0
2023-02-13,73,40,56.5,-0.8,8,0,0,0,0
2023-02-14,80,60,70,12.5,0,5,0.03,0,0
2023-02-15,78,64,71,13.3,0,6,T,0,0
2023-02-16,72,45,58.5,0.6,6,0,0.05,0,0
2023-02-17,54,36,45,-13.1,20,0,0,0,0
2023-02-18,55,33,44,-14.3,21,0,0,0,0
2023-02-19,75,43,59,0.4,6,0,0,0,0
2023-02-20,79,63,71,12.2,0,6,0.01,0,0
2023-02-21,82,69,75.5,16.5,0,11,0,0,0
2023-02-22,81,70,75.5,16.3,0,11,0.07,0,0
2023-02-23,83,70,76.5,17.1,0,12,0,0,0
2023-02-24,79,69,74,14.4,0,9,T,0,0
2023-02-25,82,62,72,12.2,0,7,0.02,0,0
2023-02-26,82,70,76,16,0,11,T,0,0
2023-02-27,84,59,71.5,11.2,0,7,T,0,0
2023-02-28,84,56,70,9.5,0,5,0,0,0
2023-03-01,84,71,77.5,16.8,0,13,0,0,0
2023-03-02,79,65,72,11.1,0,7,0.08,0,0
2023-03-03,72,53,62.5,1.4,2,0,0,0,0
2023-03-04,80,46,63,1.7,2,0,0,0,0
2023-03-05,78,50,64,2.5,1,0,0,0,0
2023-03-06,83,55,69,7.2,0,4,0,0,0
2023-03-07,83,67,75,13,0,10,T,0,0
2023-03-08,87,66,76.5,14.3,0,12,0,0,0
2023-03-09,86,62,74,11.6,0,9,0,0,0
2023-03-10,79,63,71,8.4,0,6,0.01,0,0
2023-03-11,86,63,74.5,11.7,0,10,0,0,0
2023-03-12,84,59,71.5,8.5,0,7,0,0,0
2023-03-13,71,53,62,-1.2,3,0,0,0,0
2023-03-14,67,50,58.5,-4.9,6,0,0,0,0
2023-03-15,70,44,57,-6.6,8,0,0,0,0
2023-03-16,75,63,69,5.2,0,4,0.21,0,0
2023-03-17,72,45,58.5,-5.5,6,0,0.76,0,0
2023-03-18,56,47,51.5,-12.7,13,0,T,0,0
2023-03-19,59,39,49,-15.4,16,0,0,0,0
2023-03-20,56,37,46.5,-18.1,18,0,0,0,0
2023-03-21,73,53,63,-1.8,2,0,T,0,0
2023-03-22,83,68,75.5,10.5,0,11,0,0,0
2023-03-23,85,71,78,12.8,0,13,T,0,0
2023-03-24,83,70,76.5,11.1,0,12,0.01,0,0
2023-03-25,85,60,72.5,6.9,0,8,0,0,0
2023-03-26,82,54,68,2.2,0,3,0.07,0,0
2023-03-27,77,63,70,4,0,5,T,0,0
2023-03-28,77,62,69.5,3.3,0,5,T,0,0
2023-03-29,68,56,62,-4.4,3,0,0.01,0,0
2023-03-30,76,58,67,0.4,0,2,T,0,0
2023-03-31,84,73,78.5,11.7,0,14,T,0,0
2023-04-01,89,65,77,10,0,12,0,0,0
2023-04-02,83,63,73,5.8,0,8,0,0,0
2023-04-03,87,74,80.5,13.1,0,16,0,0,0
2023-04-04,83,73,78,10.4,0,13,0,0,0
2023-04-05,81,55,68,0.2,0,3,0.8,0,0
2023-04-06,64,55,59.5,-8.4,5,0,0.82,0,0
2023-04-07,59,54,56.5,-11.6,8,0,0.99,0,0
2023-04-08,72,54,63,-5.3,2,0,0,0,0
2023-04-09,72,57,64.5,-4,0,0,0,0,0
2023-04-10,68,57,62.5,-6.2,2,0,0,0,0
2023-04-11,77,58,67.5,-1.4,0,3,0,0,0
2023-04-12,76,55,65.5,-3.6,0,1,T,0,0
2023-04-13,79,53,66,-3.3,0,1,0,0,0
2023-04-14,78,57,67.5,-2,0,3,0,0,0
2023-04-15,90,69,79.5,9.7,0,15,0.06,0,0
2023-04-16,76,55,65.5,-4.5,0,1,0,0,0
2023-04-17,76,50,63,-7.2,2,0,0,0,0
2023-04-18,78,60,69,-1.4,0,4,0.05,0,0
2023-04-19,84,65,74.5,3.9,0,10,0,0,0
2023-04-20,78,64,71,0.2,0,6,1.26,0,0
2023-04-21,78,63,70.5,-0.6,0,6,1.1,0,0
2023-04-22,77,56,66.5,-4.8,0,2,0,0,0
2023-04-23,65,56,60.5,-11,4,0,0.05,0,0
2023-04-24,74,54,64,-7.8,1,0,0,0,0
2023-04-25,78,60,69,-3,0,4,T,0,0
2023-04-26,81,65,73,0.8,0,8,0.15,0,0
2023-04-27,76,60,68,-4.5,0,3,0.25,0,0
2023-04-28,82,56,69,-3.7,0,4,0.34,0,0
2023-04-29,70,56,63,-10,2,0,0,0,0
2023-04-30,85,53,69,-4.2,0,4,0,0,0
2023-05-01,83,55,69,-4.5,0,4,0,0,0
2023-05-02,81,63,72,-1.7,0,7,0,0,0
2023-05-03,85,63,74,0,0,9,0,0,0
2023-05-04,82,63,72.5,-1.7,0,8,0,0,0
2023-05-05,92,74,83,8.5,0,18,T,0,0
2023-05-06,90,67,78.5,3.7,0,14,0.04,0,0
2023-05-07,79,74,76.5,1.5,0,12,0.17,0,0
2023-05-08,84,63,73.5,-1.8,0,9,1.19,0,0
2023-05-09,78,67,72.5,-3.1,0,8,1.13,0,0
2023-05-10,74,66,70,-5.8,0,5,2.32,0,0
2023-05-11,86,71,78.5,2.4,0,14,0,0,0
2023-05-12,88,77,82.5,6.1,0,18,T,0,0
2023-05-13,79,68,73.5,-3.1,0,9,0.95,0,0
2023-05-14,83,69,76,-0.9,0,11,1.29,0,0
2023-05-15,86,69,77.5,0.3,0,13,0.25,0,0
2023-05-16,88,67,77.5,0.1,0,13,1.28,0,0
2023-05-17,86,67,76.5,-1.2,0,12,0,0,0
2023-05-18,90,65,77.5,-0.5,0,13,0,0,0
2023-05-19,92,70,81,2.8,0,16,0,0,0
2023-05-20,90,72,81,2.5,0,16,0,0,0
2023-05-21,80,68,74,-4.7,0,9,T,0,0
2023-05-22,86,69,77.5,-1.5,0,13,0,0,0
2023-05-23,88,68,78,-1.2,0,13,T,0,0
2023-05-24,87,67,77,-2.4,0,12,0,0,0
2023-05-25,86,68,77,-2.7,0,12,0,0,0
2023-05-26,90,69,79.5,-0.4,0,15,0,0,0
2023-05-27,89,68,78.5,-1.6,0,14,0,0,0
2023-05-28,88,68,78,-2.3,0,13,0,0,0
2023-05-29,86,69,77.5,-3,0,13,0,0,0